Altium Designer Pick and Place Locations
C:\Users\thoma\Documents\Altium\UltraZOhm\UZ_A_MAX11331_Daughter\Project Outputs for UZ_A_MAX11331_Daugther\Pick Place\PickPlace_UZ_A_MAX11331_Daugther_2v01.txt

========================================================================================================================
File Design Information:

Date:       21.04.21
Time:       17:24
Revision:   960d3172a432447561f6f2b9979d694950ee8413
Variant:    SMD_Assembly
Units used: mm

Designator  Footprint                     Center-X(mm) Center-Y(mm) Ref-X(mm) Ref-Y(mm) Pad-X(mm) Pad-Y(mm) Rotation Layer    Comment                    
R5B         RES_1206                      -34.4411     55.8950      -34.4412  54.3950   -34.4411  54.3950   0        TopLayer 160R                       
R5A         RES_1206                      -34.4411     78.8950      -34.4412  77.3950   -34.4411  77.3950   0        TopLayer 160R                       
R4H         RES_0603                      -37.4122     8.5090       -38.2121  8.5090    -38.2122  8.5090    90       TopLayer 24.3k                      
R4G         RES_0603                      -37.4122     31.3690      -38.2121  31.3690   -38.2122  31.3690   90       TopLayer 24.3k                      
R4F         RES_0603                      -76.5282     8.5090       -77.3281  8.5090    -77.3282  8.5090    90       TopLayer 24.3k                      
R4E         RES_0603                      -76.2729     31.4210      -77.0729  31.4210   -77.0729  31.4210   90       TopLayer 24.3k                      
R4D         RES_0603                      -76.4002     56.6810      -77.2002  56.6810   -77.2002  56.6810   90       TopLayer 24.3k                      
R4C         RES_0603                      -76.4002     79.6810      -77.2002  79.6810   -77.2002  79.6810   90       TopLayer 24.3k                      
R4B         RES_0603                      -37.4001     56.6810      -38.2001  56.6810   -38.2002  56.6810   90       TopLayer 24.3k                      
R4A         RES_0603                      -37.4001     79.6810      -38.2001  79.6810   -38.2002  79.6810   90       TopLayer 24.3k                      
R3H         RES_0603                      -55.4789     8.0010       -56.2789  8.0010    -56.2789  8.0010    90       TopLayer 48.7                       
R3G         RES_0603                      -55.4789     30.8610      -56.2789  30.8610   -56.2789  30.8610   90       TopLayer 48.7                       
R3F         RES_0603                      -94.5949     8.0010       -95.3949  8.0010    -95.3949  8.0010    90       TopLayer 48.7                       
R3E         RES_0603                      -94.3397     30.9130      -95.1396  30.9130   -95.1396  30.9130   90       TopLayer 48.7                       
R3D         RES_0603                      -94.4669     56.1730      -95.2669  56.1730   -95.2669  56.1730   90       TopLayer 48.7                       
R3C         RES_0603                      -94.4669     79.1730      -95.2669  79.1730   -95.2669  79.1730   90       TopLayer 48.7                       
R3B         RES_0603                      -55.4669     56.1730      -56.2669  56.1730   -56.2669  56.1730   90       TopLayer 48.7                       
R3A         RES_0603                      -55.4669     79.1730      -56.2669  79.1730   -56.2669  79.1730   90       TopLayer 48.7                       
R2H         CAC-80P320X160-8N             -46.5944     7.4740       -46.5944  7.4740    -45.8944  6.1490    180      TopLayer 10k                        
R2G         CAC-80P320X160-8N             -46.5944     30.3340      -46.5944  30.3340   -45.8944  29.0090   180      TopLayer 10k                        
